  Note    Freq Hz     Dur ms
    B3      494.1        4.2
    G2      196.0       33.8
    B3      494.1       29.6
    D4      587.5       38.0
    F2      174.6       33.8
    D4      587.5       67.6
    G2      196.0       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    B3      494.1        4.2
    F2      174.6       33.8
    B3      494.1       29.6
    D4      587.5       12.7
   ---        0.0       21.1
    B3      494.1        4.2
    G2      196.0       33.8
    B3      494.1       29.6
    D4      587.5       38.0
    F2      174.6       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    B3      494.1        4.2
   G#2      207.7       33.8
    B3      494.1       29.6
    D4      587.5       38.0
   A#2      233.1       33.8
    D4      587.5       67.6
    C3      261.7       33.8
    D4      587.5       42.2
   ---        0.0       21.1
    B3      494.1        4.2
    D3      293.7       33.8
    B3      494.1       29.6
    D4      587.5       12.7
   ---        0.0       21.1
    B3      494.1        4.2
   D#3      311.2       33.8
    B3      494.1       29.6
    D4      587.5       38.0
    F3      349.3       33.8
    D4      587.5       42.2
   ---        0.0       21.1
   D#3      311.2        4.2
    C1       65.4       33.8
   D#3      311.2       29.6
    C4      523.3      135.2
    G3      392.1       67.6
    C4      523.3       38.0
    C2      130.8       33.8
    C4      523.3       67.6
    C1       65.4       33.8
    C4      523.3       29.6
   D#4      622.4      114.1
   ---        0.0       21.1
   D#3      311.2        4.2
    C1       65.4       33.8
   D#3      311.2       29.6
    G4      784.5      135.2
    G3      392.1       67.6
    G4      784.5       38.0
    C2      130.8       33.8
    G4      784.5       63.4
    C4      523.3        4.2
    C1       65.4       33.8
    C4      523.3       29.6
    G4      784.5      135.2
   D#3      311.2        4.2
    C1       65.4       33.8
   D#3      311.2       29.6
    G4      784.5      135.2
    G3      392.1       67.6
    G4      784.5       38.0
    C2      130.8       33.8
    G4      784.5       63.4
    C4      523.3        4.2
    C1       65.4       33.8
    C4      523.3       29.6
    G4      784.5      114.1
   ---        0.0       21.1
   D#3      311.2        4.2
    C1       65.4       33.8
   D#3      311.2       29.6
    G4      784.5      114.1
   ---        0.0       21.1
    G3      392.1       67.6
    F4      698.6       38.0
    C2      130.8       33.8
    F4      698.6       42.2
   ---        0.0       21.1
    C4      523.3        4.2
    C1       65.4       33.8
    C4      523.3       29.6
   D#4      622.4      114.1
   ---        0.0       21.1
    D3      293.7        4.2
   A#1      116.5       33.8
    D3      293.7       29.6
    F4      698.6      135.2
    F3      349.3       67.6
    F4      698.6       38.0
   A#2      233.1       33.8
    F4      698.6       42.2
   ---        0.0       21.1
   A#3      466.3        4.2
   A#1      116.5       33.8
   A#3      466.3       29.6
    D4      587.5      114.1
   ---        0.0       21.1
    D3      293.7        4.2
   A#1      116.5       33.8
    D3      293.7       29.6
   A#4      932.9      135.2
    F3      349.3       67.6
   A#4      932.9       38.0
   A#2      233.1       33.8
   A#4      932.9       63.4
   A#3      466.3        4.2
   A#1      116.5       33.8
   A#3      466.3       29.6
   A#4      932.9      135.2
    D3      293.7        4.2
   A#1      116.5       33.8
    D3      293.7       29.6
   A#4      932.9      135.2
    F3      349.3       67.6
   A#4      932.9       38.0
   A#2      233.1       33.8
   A#4      932.9       63.4
   A#3      466.3        4.2
   A#1      116.5       33.8
   A#3      466.3       29.6
   A#4      932.9      114.1
   ---        0.0       21.1
    D3      293.7        4.2
   A#1      116.5       33.8
    D3      293.7       29.6
    D5     1175.5      114.1
   ---        0.0       21.1
    F3      349.3       67.6
    C5     1046.7       38.0
   A#2      233.1       33.8
    C5     1046.7       42.2
   ---        0.0       21.1
   A#3      466.3        4.2
   A#1      116.5       33.8
   A#3      466.3       29.6
   A#4      932.9      114.1
   ---        0.0       21.1
    A3      440.1        4.2
    A1      110.0       33.8
    A3      440.1       29.6
    C5     1046.7      114.1
   ---        0.0       21.1
    C4      523.3       67.6
    A4      880.6       38.0
    A2      220.0       33.8
    A4      880.6       42.2
   ---        0.0       21.1
    A3      440.1        4.2
    A1      110.0       33.8
    A3      440.1       29.6
    F4      698.6      114.1
   ---        0.0       21.1
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
    G4      784.5      135.2
   D#4      622.4       67.6
    G4      784.5       38.0
    G2      196.0       33.8
    G4      784.5       63.4
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
    G4      784.5      135.2
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
    G4      784.5      135.2
   D#4      622.4       67.6
    G4      784.5       38.0
    G2      196.0       33.8
    G4      784.5       63.4
    C4      523.3        4.2
    G1       98.0       33.8
    C4      523.3       29.6
    G4      784.5      114.1
   ---        0.0       21.1
    B3      494.1        4.2
    G1       98.0       33.8
    B3      494.1       29.6
    G4      784.5      135.2
    D4      587.5       67.6
    G4      784.5       38.0
    G2      196.0       33.8
    G4      784.5       63.4
    B3      494.1        4.2
    G1       98.0       33.8
    B3      494.1       29.6
    G4      784.5      135.2
    B3      494.1        4.2
    G1       98.0       33.8
    B3      494.1       29.6
    G4      784.5      135.2
    D4      587.5       67.6
    G4      784.5       38.0
