  Note    Freq Hz     Dur ms
   ---        0.0      169.0
    B1      123.5       33.8
    G3      392.1       29.6
   ---        0.0      139.4
   F#2      185.0       33.8
   ---        0.0      169.0
    B2      247.0       33.8
   ---        0.0      169.0
    B1      123.5       33.8
   F#3      370.1       29.6
   ---        0.0      139.4
   F#2      185.0       33.8
   ---        0.0      169.0
    B2      247.0       33.8
   ---        0.0      169.0
    E1       82.3       33.8
    G3      392.1       29.6
   ---        0.0      139.4
    B1      123.5       33.8
   ---        0.0       63.4
    B3      494.1       67.6
   ---        0.0       38.0
    E2      164.6       33.8
    E4      658.5       29.6
   ---        0.0      139.4
   F#1       92.5       33.8
   D#4      622.4       29.6
   ---        0.0      139.4
    B1      123.5       33.8
   C#4      554.5       29.6
   ---        0.0      139.4
   F#2      185.0       33.8
   D#4      622.4       29.6
   ---        0.0      139.4
    G1       98.0       33.8
    D4      587.5       29.6
   ---        0.0      139.4
    D2      146.9       33.8
   ---        0.0       63.4
    D4      587.5       67.6
   ---        0.0       38.0
    G2      196.0       33.8
    D4      587.5       29.6
   ---        0.0      139.4
    A1      110.0       33.8
    B3      494.1       29.6
   ---        0.0      139.4
    E2      164.6       33.8
    A3      440.1       29.6
   ---        0.0      139.4
    A2      220.0       33.8
   F#3      370.1       29.6
   ---        0.0      139.4
    B1      123.5       33.8
    G3      392.1       29.6
   ---        0.0      139.4
    B2      247.0       33.8
   ---        0.0       63.4
    B3      494.1       67.6
   ---        0.0       38.0
    B1      123.5       33.8
    E4      658.5       29.6
   ---        0.0      139.4
    C2      130.8       33.8
   F#4      740.2       29.6
   ---        0.0      139.4
    C3      261.7       33.8
    E4      658.5       29.6
   ---        0.0      139.4
    C2      130.8       33.8
   F#4      740.2       29.6
   ---        0.0      139.4
    B1      123.5       33.8
    E4      658.5       29.6
   ---        0.0      240.8
    B2      247.0       33.8
   ---        0.0       67.6
    B1      123.5       33.8
   ---        0.0      169.0
    B1      123.5       33.8
   D#4      622.4       29.6
   ---        0.0      240.8
    B2      247.0       33.8
   ---        0.0       67.6
    B1      123.5       33.8
   ---        0.0      169.0
    C2      130.8       33.8
    E4      658.5       29.6
   ---        0.0      545.0
    G1       98.0       33.8
    D4      587.5       29.6
   ---        0.0      545.0
    C2      130.8       33.8
    E4      658.5       29.6
   ---        0.0      545.0
    G1       98.0       33.8
    D4      587.5       29.6
   ---        0.0      545.0
    C2      130.8       33.8
    E4      658.5       29.6
   ---        0.0      545.0
    C2      130.8       33.8
    E4      658.5       29.6
   ---        0.0      545.0
    B1      123.5       33.8
   D#4      622.4       29.6
   ---        0.0       33.8
   D#2      155.6       67.6
   ---        0.0       33.8
   F#2      185.0       67.6
   ---        0.0       33.8
    A2      220.0       67.6
   ---        0.0       33.8
    B2      247.0       67.6
   ---        0.0       33.8
   D#3      311.2       67.6
   ---        0.0       33.8
   F#3      370.1       67.6
   ---        0.0       33.8
    A3      440.1       67.6
   ---        0.0       33.8
    B3      494.1       67.6
   ---        0.0       33.8
   D#4      622.4       67.6
   ---        0.0       33.8
   F#4      740.2       67.6
   ---        0.0       33.8
    A4      880.6       67.6
   ---        0.0       38.0
    B2      247.0       33.8
    G4      784.5       29.6
   ---        0.0      240.8
    E3      329.2       33.8
   ---        0.0       67.6
    G3      392.1       33.8
   ---        0.0      169.0
   F#3      370.1       33.8
    A4      880.6       29.6
   ---        0.0      139.4
    E3      329.2       33.8
   ---        0.0      169.0
   F#3      370.1       33.8
   ---        0.0      169.0
    G3      392.1       33.8
    G4      784.5       29.6
   ---        0.0      240.8
    B2      247.0       33.8
   ---        0.0       67.6
    E3      329.2       33.8
   ---        0.0      169.0
    D3      293.7       33.8
    A4      880.6       29.6
   ---        0.0      139.4
    C3      261.7       33.8
   ---        0.0      169.0
    A2      220.0       33.8
   ---        0.0      169.0
    B2      247.0       33.8
    G4      784.5       29.6
   ---        0.0      240.8
    E3      329.2       33.8
   ---        0.0       67.6
    G3      392.1       33.8
   ---        0.0      169.0
    A3      440.1       33.8
    G4      784.5       29.6
   ---        0.0      139.4
    G3      392.1       33.8
   ---        0.0      169.0
    A3      440.1       33.8
   ---        0.0      169.0
    B3      494.1       33.8
    G4      784.5       29.6
   ---        0.0      540.8
   F#4      740.2       67.6
   ---        0.0      545.0
    C2      130.8       33.8
    E3      329.2       29.6
   ---        0.0       33.8
    G3      392.1       67.6
   ---        0.0       33.8
    C4      523.3       67.6
   ---        0.0       33.8
    E3      329.2       67.6
   ---        0.0       33.8
    G3      392.1       67.6
   ---        0.0       33.8
    C4      523.3       67.6
   ---        0.0       38.0
    G1       98.0       33.8
    D3      293.7       29.6
   ---        0.0       33.8
    G3      392.1       67.6
   ---        0.0       33.8
    B3      494.1       67.6
   ---        0.0       33.8
    D3      293.7       67.6
   ---        0.0       33.8
    G3      392.1       67.6
   ---        0.0       33.8
    B3      494.1       67.6
   ---        0.0       38.0
    C2      130.8       33.8
    E3      329.2       29.6
   ---        0.0       33.8
    G3      392.1       67.6
   ---        0.0       33.8
    C4      523.3       67.6
   ---        0.0       33.8
    E3      329.2       67.6
   ---        0.0       33.8
    G3      392.1       67.6
   ---        0.0       33.8
    C4      523.3       67.6
   ---        0.0       38.0
    G1       98.0       33.8
    D3      293.7       29.6
   ---        0.0       33.8
    G3      392.1       67.6
   ---        0.0       33.8
    B3      494.1       67.6
   ---        0.0       33.8
    D3      293.7       67.6
   ---        0.0       33.8
    G3      392.1       67.6
   ---        0.0       33.8
    B3      494.1       67.6
   ---        0.0       33.8
   A#3      466.3       67.6
   ---        0.0      540.8
    F3      349.3       67.6
   ---        0.0      540.8
   A#3      466.3       67.6
